"img href","img src","v5-item","price-offer","price-offer 2","price-tradein","price-tradein 2","price","price 2","specs","specs 2","specs 3","specs 4","specs 5","specs 6","specs 7","specs 8","promotion"
"https://hoanghamobile.com/laptop-lenovo-ideapad-slim-5-14imh9-83da001nvn","https://cdn.hoanghamobile.com/Uploads/2024/04/24/83da001nvn-9.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo Ideapad Slim 5 14IMH9 83DA001NVN","Giá HSSV","19,890,000 ₫","Giá lên đời từ","17,390,000 ₫","20,390,000 ₫","21,990,000 ₫","U5 - 125H","16GB","512GB SSD","GPU tích hợp","14 inch","1920x1200","60Hz","1.48kg","7"
"https://hoanghamobile.com/laptop-dell-inspiron-3530-n5i5007w1","https://cdn.hoanghamobile.com/Uploads/2024/04/25/a.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Dell Inspiron 3530 N5I5007W1","Giá HSSV","16,990,000 ₫","Giá lên đời từ","14,490,000 ₫","17,490,000 ₫","19,890,000 ₫","i5 - 1335U","16GB","512GB SSD","GPU tích hợp","15.6 inch","1920x1080","120Hz","1.83kg","13"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-14-x1404za-nk389w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/20/asus-vivobook-14-x1404za-nk389w-4.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Vivobook 14 X1404ZA-NK389W","Giá HSSV","14,990,000 ₫","Giá lên đời từ","12,490,000 ₫","15,490,000 ₫","17,990,000 ₫","i7 - 1255U","16GB","512GB SSD","GPU tích hợp","14 inch","1920x1080","60Hz","1.4 kg","7"
"https://hoanghamobile.com/laptop/laptop-asus-vivobook-m1605ya-mb303w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/20/laptop-asus-vivobook-m1605ya-mb303w-chinh-hang-10.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Asus Vivobook M1605YA-MB303W","Giá HSSV","13,490,000 ₫","Giá lên đời từ","10,990,000 ₫","13,990,000 ₫","18,490,000 ₫","R7 - 7730U","16GB","512GB SSD","GPU tích hợp","16 inch","1920x1200","60Hz","1.88 kg","7"
"https://hoanghamobile.com/laptop/laptop-lenovo-ideapad-slim-5-16imh9-83dc001rvn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/22/83dc001rvn-5.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo IdeaPad Slim 5 16IMH9 83DC001RVN","Giá HSSV","20,990,000 ₫","Giá lên đời từ","18,490,000 ₫","21,490,000 ₫","22,990,000 ₫","U5 - 125H","16GB","512GB SSD","GPU tích hợp","16 inch","2048x1280","120Hz","1.89kg","7"
"https://hoanghamobile.com/laptop/laptop-asus-tuf-gaming-f15-fx507vu-lp197w-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/20/lp197w-9.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Asus TUF Gaming F15 FX507VU-LP197W","Giá HSSV","28,990,000 ₫","Giá lên đời từ","26,490,000 ₫","29,490,000 ₫","33,990,000 ₫","i7 - 13620H","32GB","512GB SSD","RTX 4050","15 inch","1920x1080","144Hz","2.2 kg","7"
"https://hoanghamobile.com/laptop/lenovo-ideapad-5-14ial7-82sd006pvn","https://cdn.hoanghamobile.com/Uploads/2024/05/03/82sd006pvn-4.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Lenovo IdeaPad 5 14IAL7 82SD006PVN","Giá HSSV","11,490,000 ₫","Giá lên đời từ","8,990,000 ₫","11,990,000 ₫","16,990,000 ₫","i5 - 1235U","8GB","512GB SSD","GPU tích hợp","14 inch","1920x1080","60Hz","1.44kg","13"
"https://hoanghamobile.com/laptop/laptop-lenovo-loq-15irh8-82xv00qxvn-chinh-hang","https://cdn.hoanghamobile.com/Uploads/2024/04/05/loq-15irh8-ct1-02.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop Lenovo LOQ 15IRH8 (82XV00QXVN)","Giá HSSV","26,490,000 ₫","Giá lên đời từ","23,990,000 ₫","26,990,000 ₫","31,990,000 ₫","i7 - 13620H","16GB","512GB SSD","RTX 4050","15.6 inch","1920x1080","144Hz","2.4kg","9"
"https://hoanghamobile.com/lap-top/macbook-air-13-inch-2020-256gb-chinh-hang-apple-viet-nam-phien-ban-moi","https://cdn.hoanghamobile.com/Uploads/2023/11/07/macbook-air-m1-silver.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","MacBook Air M1 13"" (8GB/256GB) Apple Việt Nam","Giá HSSV","17,890,000 ₫","Giá lên đời từ","16,390,000 ₫","18,390,000 ₫","27,990,000 ₫","Apple - M1","8GB","256GB SSD","GPU tích hợp","13.3 inch","2560x1600","60Hz","1.29kg","11"
"https://hoanghamobile.com/laptop/asus-zenbook-14-oled-ux3405ma-pp475w","https://cdn.hoanghamobile.com/Uploads/2024/01/18/asus-zenbook-14-oled-ux3405-blue-1.png;trim.threshold=80;trim.percentpadding=0.5;width=250;height=150;mode=pad;paddingWidth=5;","Laptop ASUS Zenbook 14 OLED UX3405MA-PP475W","","","","","Liên hệ","","U9 - 185H","32GB","1TB SSD","GPU tích hợp","14 inch","2880x1800","120Hz","1.20kg","9"
